case_status,location,date,text
Closed,"466 474 Harrison Ave, Roxbury https://t.co/a5aYfgyfMj. Case closed. case noted. no violation.",2016-03-07 15:33:18,"Closed report at 466 474 Harrison Ave, Roxbury https://t.co/a5aYfgyfMj. Case closed. case noted. no violation. https://t.co/osaaVsi5QO"
Opened,Intersection Of Cross St &amp; Fulton St https://t.co/qpcw2SzOtn.,2016-03-07 15:31:19,Opened Broken Sidewalk report via android at Intersection Of Cross St &amp; Fulton St https://t.co/qpcw2SzOtn. https://t.co/ajs1HtwJ58
Closed,441 Bennington St https://t.co/X2pktiQcdG. Case closed. case resolved. picked up.,2016-03-07 15:28:10,Closed report at 441 Bennington St https://t.co/X2pktiQcdG. Case closed. case resolved. picked up. https://t.co/B8bkXQ4v67
Closed,"91 E Brookline St, Roxbury https://t.co/mGzbzWtEWL. Case closed. case noted. no violation.",2016-03-07 15:28:06,"Closed Litter report at 91 E Brookline St, Roxbury https://t.co/mGzbzWtEWL. Case closed. case noted. no violation. https://t.co/5GktLkC4ho"
Opened,"43 E Springfield St, Roxbury https://t.co/wMx9o8l75a. Outside door 684.",2016-03-07 15:25:40,"Opened Needle Clean-up report via iphone at 43 E Springfield St, Roxbury https://t.co/wMx9o8l75a. Outside door 684. https://t.co/BP8ewQyM1M"
Opened,"43 E Springfield St, Roxbury https://t.co/NG0AC2HGd8. Outside door 684.",2016-03-07 15:21:18,"Opened Needle Clean-up report via iphone at 43 E Springfield St, Roxbury https://t.co/NG0AC2HGd8. Outside door 684. https://t.co/aZM1iaqIjT"
Closed,58 Salem St,2016-03-07 15:02:09,Closed Dead Animal Pick-up report at 58 Salem St https://t.co/X7Ev9yWE3i. Case closed. case resolved. degrad picked up.
Opened,"85 Centre St, Roxbury",2016-03-07 14:56:46,"Opened Illegal Parking report via iphone at 85 Centre St, Roxbury https://t.co/HKZRdUFmSL. Cars parked in resident parking only."
Closed,"383 Silver St, South Boston https://t.co/iYDeqdeTg6. Case closed. case resolved. two ticketed.",2016-03-07 14:46:41,"Closed report at 383 Silver St, South Boston https://t.co/iYDeqdeTg6. Case closed. case resolved. two ticketed. https://t.co/Hkk4hhsckE"
Closed,126 132 N Washington St,2016-03-07 14:46:33,Closed Illegal Parking report at 126 132 N Washington St https://t.co/a9UrDTLG1K. Case closed. case noted. clear now.
Opened,"4 Terrace Pl, Mission Hill https://t.co/02VL5diVKr.",2016-03-07 14:33:04,"Opened Litter report via iphone at 4 Terrace Pl, Mission Hill https://t.co/02VL5diVKr. https://t.co/32K8LEkqVq"
Closed,27 Essex St,2016-03-07 14:20:43,Closed Illegal Parking report at 27 Essex St https://t.co/fCeoqajPJR. Case closed. case resolved. two vehicles ticketed.
